club_code,state,reporting_group_company_level
008,SC,AAA NE
008,SD,AAA NE
008,TN,AAA NE
008,TX,AAA NE
008,UT,AAA NE
008,VA,AAA NE
008,VI,AAA NE
018,WV,ACE
018,WY,ACE
018,ZZ,ACE
020,AK,ACG
020,AL,ACG
020,AR,ACG
020,AZ,ACG
020,CA,ACG
020,CO,ACG
020,CT,ACG
020,DC,ACG
020,DE,ACG
020,FL,ACG
020,GA,ACG
020,HI,ACG
020,IA,ACG
020,ID,ACG
020,IL,ACG
020,IN,ACG
020,KS,ACG
020,KY,ACG
020,LA,ACG
020,MA,ACG
020,MD,ACG
020,ME,ACG
020,MI,ACG
020,MN,ACG
020,MO,ACG
020,MS,ACG
020,MT,ACG
020,NC,ACG
020,ND,ACG
020,NE,ACG
020,NH,ACG
020,NJ,ACG
020,NM,ACG
020,NV,ACG
020,OH,ACG
020,OK,ACG
020,OR,ACG
020,PA,ACG
008,VT,AAA NE
008,WA,AAA NE
008,WI,AAA NE
008,WV,AAA NE
008,WY,AAA NE
008,ZZ,AAA NE
012,AK,Independent
012,AL,Independent
012,AR,Independent
012,AZ,Independent
012,CA,Independent
012,CO,Independent
012,CT,Independent
012,DC,Independent
012,DE,Independent
012,FL,Independent
012,GA,Independent
012,HI,Independent
012,IA,Independent
012,ID,Independent
012,IL,Independent
020,PR,ACG
020,RI,ACG
020,SC,ACG
020,SD,ACG
020,TN,ACG
020,TX,ACG
020,UT,ACG
020,VA,ACG
020,VI,ACG
020,VT,ACG
020,WA,ACG
020,WI,ACG
020,WV,ACG
020,WY,ACG
020,ZZ,ACG
022,AK,Independent
022,AL,Independent
022,AR,Independent
999,OH,Independent
999,OK,Independent
999,OR,Independent
999,PA,Independent
999,PR,Independent
999,RI,Independent
999,SC,Independent
999,SD,Independent
999,TN,Independent
999,TX,Independent
999,UT,Independent
260,WY,Independent
260,ZZ,Independent
261,AK,Independent
261,AL,Independent
261,AR,Independent
261,AZ,Independent
261,CA,Independent
261,CO,Independent
261,CT,Independent
261,DC,Independent
261,DE,Independent
261,FL,Independent
261,GA,Independent
261,HI,Independent
261,IA,Independent
261,ID,Independent
261,IL,Independent
261,IN,Independent
261,KS,Independent
