plan_code,plan_description,product_group,product_line,sub_product_line
15T9WA,Term 2009,Traditional Level Term,Term,Term
15TMT,2005 TLC Term,Traditional Level Term,Term,Term
15TWA,2005 TLC Term,Traditional Level Term,Term,Term
15X13,15 Year Express Term 2013,Traditional Level Term,Term,Express Term
15X13M,15 Year Express Term 2013 - MT,Traditional Level Term,Term,Express Term
15X19,15 Year Express Term 2019,Traditional Level Term,Term,Express Term
15X19M,15 Year Express Term 2019 - MT,Traditional Level Term,Term,Express Term
20100W,2001 TLC Term,Traditional Level Term,Term,Term
2010AS,2001 TLC Term,Traditional Level Term,Term,Term
2010AU,2001 TLC Term,Traditional Level Term,Term,Term
2010I,2001 TLC Term,Traditional Level Term,Term,Term
201MT,2001 TLC Term,Traditional Level Term,Term,Term
2020AS,2001 TLC Term,Traditional Level Term,Term,Term
2020AU,2001 TLC Term,Traditional Level Term,Term,Term
2020I,2001 TLC Term,Traditional Level Term,Term,Term
2025PA,2001 TLC Term,Traditional Level Term,Term,Term
20MT,2005 TLC Term,Traditional Level Term,Term,Term
20P11,ASLT 2011 ROP Term,Traditional Level Term,Term,Term
20P11H,ASLT 2011 ROP Term,Traditional Level Term,Term,Term
20P13,20 Year Term 2013 w/ ROP,Traditional Level Term,Term,Term
20P13H,20 Year Term 2013 Split Fee w/ROP,Traditional Level Term,Term,Term
20P15,ASLT 2015 Term - ROP,Traditional Level Term,Term,Term
20P15M,ASLT 2015 Term - ROP,Traditional Level Term,Term,Term
20P17,ASLT 2015 Term - ROP,Traditional Level Term,Term,Term
20P17M,ASLT 2015 Term - ROP,Traditional Level Term,Term,Term
EBWAN,Elite Bonus Annuity,Deferred Annuity,Annuity,FPDA
EBWAQ,Elite Bonus Annuity,Deferred Annuity,Annuity,FPDA
EBWAR,Elite Bonus Annuity,Deferred Annuity,Annuity,FPDA
EG3NQ,Elite Guarantee CD - 3 Year,Deferred Annuity,Annuity,SPDA
EG3NQF,Elite Guarantee CD - 3 Year,Deferred Annuity,Annuity,SPDA
EG3QU,Elite Guarantee CD - 3 Year,Deferred Annuity,Annuity,SPDA
EG3QUF,Elite Guarantee CD - 3 Year,Deferred Annuity,Annuity,SPDA
EG3RO,Elite Guarantee CD - 3 Year,Deferred Annuity,Annuity,SPDA
EG3ROF,Elite Guarantee CD - 3 Year,Deferred Annuity,Annuity,SPDA
EG715N,Elite Guarantee CD - 7 Year,Deferred Annuity,Annuity,SPDA
EG715Q,Elite Guarantee CD - 7 Year,Deferred Annuity,Annuity,SPDA
EG715R,Elite Guarantee CD - 7 Year,Deferred Annuity,Annuity,SPDA
EG730N,Elite Guarantee CD - 7 Year,Deferred Annuity,Annuity,SPDA
EG730Q,Elite Guarantee CD - 7 Year,Deferred Annuity,Annuity,SPDA
EG730R,Elite Guarantee CD - 7 Year,Deferred Annuity,Annuity,SPDA
EG7INN,Elite Guarantee CD - 7 Year,Deferred Annuity,Annuity,SPDA
EG7INQ,Elite Guarantee CD - 7 Year,Deferred Annuity,Annuity,SPDA
EG7INR,Elite Guarantee CD - 7 Year,Deferred Annuity,Annuity,SPDA
EWA15N,Elite Bonus Annuity,Deferred Annuity,Annuity,FPDA
EWA15Q,Elite Bonus Annuity,Deferred Annuity,Annuity,FPDA
EWA15R,Elite Bonus Annuity,Deferred Annuity,Annuity,FPDA
EXASP3,Advantage Annuity,Deferred Annuity,Annuity,FPDA
F700A1,Annuity Plus,Deferred Annuity,Annuity,FPDA
F701A1,Annuity Plus,Deferred Annuity,Annuity,SPDA
F703A1,Annuity SuperPlus,Deferred Annuity,Annuity,SPDA
F7Q0A1,Annuity Plus,Deferred Annuity,Annuity,FPDA
F7Q1A1,Annuity Plus,Deferred Annuity,Annuity,SPDA
F7Q3A1,Annuity SuperPlus,Deferred Annuity,Annuity,SPDA
GAACG,Great American Annuity,Deferred Annuity,Annuity,IDA
IR7Q0A,Annuity Plus,Deferred Annuity,Annuity,FPDA
IR7Q1A,Annuity Plus,Deferred Annuity,Annuity,SPDA
IR7Q3A,Annuity SuperPlus,Deferred Annuity,Annuity,SPDA
IRAPF,Annuity Plus,Deferred Annuity,Annuity,FPDA
IRAPS,Annuity Plus,Deferred Annuity,Annuity,SPDA
IRAQ2,Advantage Annuity,Deferred Annuity,Annuity,FPDA
IRAQ3,Advantage Annuity,Deferred Annuity,Annuity,FPDA
IRAS2,Advantage Annuity,Deferred Annuity,Annuity,FPDA
IRAS3,Advantage Annuity,Deferred Annuity,Annuity,FPDA
P1015N,Platinum 10 Annuity,Deferred Annuity,Annuity,FPDA
P1015Q,Platinum 10 Annuity,Deferred Annuity,Annuity,FPDA
P1015R,Platinum 10 Annuity,Deferred Annuity,Annuity,FPDA
P1030N,Platinum 10 Annuity,Deferred Annuity,Annuity,FPDA
P1030Q,Platinum 10 Annuity,Deferred Annuity,Annuity,FPDA
P1030R,Platinum 10 Annuity,Deferred Annuity,Annuity,FPDA
P10INN,Platinum 10 Annuity,Deferred Annuity,Annuity,FPDA
P10INQ,Platinum 10 Annuity,Deferred Annuity,Annuity,FPDA
P10INR,Platinum 10 Annuity,Deferred Annuity,Annuity,FPDA
P10WAN,Platinum 10 Annuity,Deferred Annuity,Annuity,FPDA
P10WAQ,Platinum 10 Annuity,Deferred Annuity,Annuity,FPDA
